Theme,Impact (%)
Use-case: parking,26
Phrase: for every,67
Phrase: meter square,91
Phrase: unique three,108
Phrase: unique three word,108
Phrase: a unique three,113
"Hook: ""Tired of / annoyed""",118
Structure: brand in first five words,122
Phrase: address for,125
"CTA: ""Give it a try""",126
Phrase: it a try,126
Phrase: give it a,126
Phrase: a try,126
Phrase: give it,126
"Hook: ""Don't / can't find""",132
Phrase: find your,142
Phrase: words gives,144
Phrase: three words gives,144
Use-case: travel/outdoors,147
Use-case: friends meetups,148
Structure: ends with a CTA,153
Phrase: try the,156
Phrase: try the free,156
"CTA: ""Try the free app""",156
Phrase: the world,159
Structure: uses an em dash (—),160
Structure: starts with a question / hook,161
"Brand phrasing: ""what3words""",162
Feature: 3m squares,163
Phrase: it easy to,167
Phrase: easy to,167
Phrase: square a,167
Phrase: it easy,167
Phrase: easy to find,167
Phrase: what3words it s,168
Phrase: it s,170
"Tone: urgency (""now"", ""today"")",176
Phrase: a unique,176
Phrase: app and,176
Structure: 3+ sentences,176
Phrase: free app,178
Structure: contains numbers,179
"Brand phrasing: ""what three words""",181
"Brand phrasing: ""three words"" (generic)",181
Benefit: precise/exact,186
Phrase: 3 metre,187
Structure: contains an exclamation mark,187
Phrase: 3 word,190
Phrase: download what,191
Phrase: download what three,191
Phrase: word identifier,192
Phrase: three word identifier,192
Hook: Statement of benefit,193
Phrase: to find,194
Phrase: 3 word address,195
Structure: long copy (>230 chars),196
Phrase: has given,196
"Brand phrasing: ""three word address""",196
Phrase: every 3,196
Phrase: word address,200
Benefit: never miss / always find,201
Structure: contains a question mark,203
Feature: 57 trillion,205
Phrase: 57 trillion,205
Structure: short first sentence (≤10 words),207
Phrase: location try,207
Phrase: three word address,207
Phrase: square a unique,210
Structure: short copy (≤180 chars),210
Phrase: download the,215
Phrase: any location,216
Phrase: app now,218
Phrase: free app now,218
Feature: share location,222
Phrase: and share,224
Phrase: find and share,224
Phrase: find and,224
Phrase: metre square,226
Phrase: 3 metre square,226
Phrase: get lost,229
Phrase: a three word,230
"CTA: ""Download the app""",233
Phrase: a unique 3,233
Phrase: given every 3,233
Phrase: metre square a,233
Phrase: given every,233
Phrase: unique 3,233
Phrase: unique 3 word,233
Phrase: every 3 metre,237
Phrase: to find and,243
Use-case: deliveries,260
"Hook: ""Ever had / ever been""",260
